epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,653.048,1.17003,2.44682,1.19462,1.59518,0.92422,0.88838,0.96128,0.66545,0.91364,0.87716,0.94244,0.64128,0.95151,1.53643,0.70012,1.48413,0.0006436,0.0006436,0.0006436
56,664.486,1.13177,2.44278,1.22765,1.58567,0.87452,0.9236,0.94438,0.62978,0.87458,0.89637,0.92665,0.59537,0.97403,1.72685,0.69315,1.50928,0.000637,0.000637,0.000637
57,676.308,1.03281,2.3426,1.09097,1.44796,0.96578,0.86997,0.94879,0.67639,0.95199,0.85863,0.9254,0.60693,0.89498,1.63314,0.63734,1.43061,0.0006304,0.0006304,0.0006304
58,688.699,1.04178,2.30503,1.08728,1.48172,0.92333,0.92418,0.95684,0.70453,0.91201,0.90674,0.93629,0.62934,0.89107,1.55069,0.62261,1.39517,0.0006238,0.0006238,0.0006238
59,700.869,1.12995,2.38849,1.18987,1.53859,0.90692,0.82944,0.93494,0.68259,0.90692,0.82944,0.92112,0.61551,0.89322,1.56877,0.72684,1.42246,0.0006172,0.0006172,0.0006172
60,712.328,1.09053,2.25559,1.07297,1.53414,0.82794,0.8456,0.90933,0.65059,0.82794,0.8456,0.90301,0.60974,0.92865,1.56865,0.74084,1.46628,0.0006106,0.0006106,0.0006106
61,723.763,1.09662,2.47501,1.14093,1.52773,0.88195,0.86821,0.9231,0.66852,0.88195,0.86821,0.91346,0.59812,0.89027,1.62427,0.69098,1.43173,0.000604,0.000604,0.000604
62,735.841,1.08524,2.40776,1.13001,1.51068,0.91764,0.90665,0.95764,0.71346,0.91871,0.90517,0.94145,0.63889,0.84733,1.64297,0.61642,1.4023,0.0005974,0.0005974,0.0005974
63,747.284,1.19705,2.35048,1.21708,1.53917,0.94901,0.89457,0.96263,0.71456,0.93546,0.88303,0.92948,0.60877,0.87113,1.79503,0.62123,1.37589,0.0005908,0.0005908,0.0005908
64,758.342,1.04037,2.31102,1.08622,1.45538,0.93508,0.88794,0.94078,0.69166,0.92139,0.8765,0.9277,0.60737,0.84937,1.70256,0.65113,1.3852,0.0005842,0.0005842,0.0005842
65,769.233,1.01972,2.25317,1.07626,1.42992,0.90999,0.86241,0.93992,0.69148,0.90999,0.86241,0.91498,0.61814,0.85924,1.72953,0.6704,1.4099,0.0005776,0.0005776,0.0005776
