epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,334.451,0.95853,1.89597,1.1341,1.11564,0.96092,0.95897,0.98328,0.7815,0.93642,0.93521,0.94886,0.68985,1.07005,2.34254,0.95913,1.23457,0.00111069,0.00111069,0.00111069
47,341.684,0.92166,1.78864,1.04416,1.07238,0.97081,0.95582,0.98738,0.78391,0.9457,0.93217,0.96857,0.68634,1.0792,2.41067,0.99207,1.26033,0.00110362,0.00110362,0.00110362
48,348.918,0.95079,1.94784,1.05836,1.1059,0.95485,0.94873,0.97148,0.7946,0.95432,0.94873,0.95984,0.70024,0.98592,2.2383,0.97438,1.16628,0.00109654,0.00109654,0.00109654
49,356.205,0.91367,1.85204,1.0683,1.10992,0.96111,0.96173,0.97291,0.78591,0.93614,0.93806,0.94561,0.69872,0.98857,2.79653,0.95218,1.24367,0.00108947,0.00108947,0.00108947
50,363.4,0.90741,1.86787,1.03298,1.09484,0.99204,0.95238,0.97828,0.77748,0.96623,0.92857,0.94863,0.6756,1.02702,2.65882,0.93222,1.27193,0.0010824,0.0010824,0.0010824
51,370.575,0.94003,1.83448,1.04261,1.1153,0.97862,0.94127,0.97806,0.77511,0.95672,0.91717,0.94009,0.68943,1.0679,3.03446,0.96012,1.26469,0.00107532,0.00107532,0.00107532
52,377.782,0.90414,1.83218,1.0437,1.06647,0.96241,0.96293,0.98417,0.78344,0.93728,0.93933,0.94142,0.64911,1.05564,3.25395,0.91076,1.28044,0.00106825,0.00106825,0.00106825
53,384.948,0.90476,1.85788,1.07039,1.08493,0.94909,0.92898,0.97577,0.77569,0.92897,0.89327,0.93914,0.67321,0.99622,2.6221,0.96567,1.22718,0.00106118,0.00106118,0.00106118
54,392.15,0.89965,1.77124,1.03088,1.09669,0.93399,0.92898,0.98036,0.80149,0.95217,0.90707,0.96147,0.69791,0.96677,2.33486,0.89806,1.20156,0.0010541,0.0010541,0.0010541
55,399.346,0.89641,1.81712,1.05286,1.08199,0.98044,0.95238,0.98545,0.79874,0.95544,0.93147,0.96063,0.70786,0.98697,2.60449,0.83928,1.21416,0.00104703,0.00104703,0.00104703
56,406.586,0.88167,1.88266,1.02712,1.07251,0.97813,0.91522,0.98048,0.76934,0.96281,0.89921,0.94324,0.68344,1.0309,2.9854,0.94345,1.23362,0.00103995,0.00103995,0.00103995
57,413.791,0.8856,1.73282,1.02583,1.06391,0.97202,0.94212,0.98597,0.78262,0.96262,0.91343,0.95195,0.65181,1.07332,3.23699,0.91259,1.24516,0.00103288,0.00103288,0.00103288
58,421.008,0.83968,1.65466,0.93321,1.06441,0.94157,0.95238,0.97767,0.78556,0.92881,0.94048,0.95627,0.67099,1.05871,2.90647,0.99866,1.23937,0.00102581,0.00102581,0.00102581
59,428.169,0.87184,1.77114,1.02646,1.06983,0.96265,0.94245,0.97555,0.80593,0.96244,0.94048,0.97505,0.69049,0.97321,2.59822,0.86546,1.21039,0.00101873,0.00101873,0.00101873
60,435.437,0.90319,1.79754,1.00942,1.10239,0.95939,0.95083,0.98306,0.78323,0.93409,0.92728,0.94668,0.69635,1.05253,2.82845,0.90322,1.24301,0.00101166,0.00101166,0.00101166
61,442.634,0.8563,1.7143,0.9542,1.06562,0.96109,0.94556,0.96927,0.78121,0.95109,0.89767,0.93269,0.6679,1.01555,2.83681,0.95283,1.23737,0.00100459,0.00100459,0.00100459
62,449.769,0.86974,1.66989,0.97429,1.08993,0.96252,0.93821,0.96881,0.79374,0.95068,0.92631,0.94513,0.69268,0.96421,2.7097,0.90624,1.2056,0.000997513,0.000997513,0.000997513
63,457.088,0.87317,1.60737,0.88664,1.07517,0.95745,0.94048,0.97099,0.77476,0.95745,0.94048,0.96048,0.67811,1.00318,3.06812,0.96243,1.21216,0.00099044,0.00099044,0.00099044
64,464.232,0.86982,1.75459,0.96054,1.06091,0.97181,0.92184,0.97782,0.79255,0.94126,0.92668,0.95117,0.68194,0.93832,2.8151,0.91688,1.15432,0.000983366,0.000983366,0.000983366
65,471.463,0.84708,1.70527,0.97472,1.07519,0.96147,0.92246,0.97535,0.79551,0.96147,0.92246,0.96704,0.69601,0.99941,2.60177,0.93773,1.19128,0.000976293,0.000976293,0.000976293
66,478.625,0.90268,1.76952,1.03278,1.08377,0.99074,0.91896,0.97822,0.78881,0.99074,0.91896,0.96791,0.69311,0.97372,2.36523,0.9235,1.17575,0.000969219,0.000969219,0.000969219
