epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1123.45,1.48288,2.90968,1.60656,1.88543,0.84742,0.83518,0.90185,0.50582,0.83732,0.82328,0.88078,0.49765,1.53252,2.12881,1.01696,1.96394,0.00080695,0.00080695,0.00080695
41,1152.42,1.32745,2.50951,1.41599,1.77402,0.77028,0.71921,0.82315,0.49967,0.77028,0.71921,0.81138,0.46859,1.39247,2.23899,1.04363,1.76931,0.000802,0.000802,0.000802
42,1179.13,1.34192,2.70014,1.47792,1.77684,0.77119,0.85597,0.87476,0.49172,0.77119,0.85597,0.87135,0.47335,1.56496,2.10673,0.97294,1.9792,0.00079705,0.00079705,0.00079705
43,1205.21,1.38189,2.63627,1.3865,1.74728,0.89311,0.72669,0.88448,0.53268,0.89311,0.72669,0.87308,0.4953,1.41458,2.19187,0.92906,1.80458,0.0007921,0.0007921,0.0007921
44,1232.65,1.34707,2.58943,1.34694,1.72436,0.82158,0.77364,0.87987,0.51847,0.8095,0.762,0.85398,0.51656,1.43423,2.20921,1.00311,1.87674,0.00078715,0.00078715,0.00078715
45,1260.39,1.32028,2.59988,1.34066,1.74732,0.74852,0.77709,0.80753,0.47383,0.74852,0.77709,0.81214,0.47649,1.42921,2.11888,1.20386,1.85157,0.0007822,0.0007822,0.0007822
46,1290.53,1.37224,2.48914,1.35751,1.75238,0.84772,0.73012,0.85957,0.54351,0.84772,0.73012,0.86433,0.51868,1.38861,2.00952,0.94599,1.7998,0.00077725,0.00077725,0.00077725
47,1320.7,1.28703,2.61333,1.32382,1.70778,0.71388,0.74632,0.81097,0.47777,0.84801,0.65091,0.80458,0.4737,1.42372,2.09047,1.06739,1.86532,0.0007723,0.0007723,0.0007723
48,1347.14,1.25856,2.41804,1.28588,1.64944,0.79693,0.81503,0.86221,0.55412,0.79693,0.81503,0.87038,0.53134,1.40294,1.98161,0.98242,1.7875,0.00076735,0.00076735,0.00076735
49,1375.87,1.336,2.50783,1.31355,1.67224,0.83128,0.72081,0.86731,0.54114,0.83128,0.72081,0.86308,0.51405,1.3566,1.96208,1.02464,1.7636,0.0007624,0.0007624,0.0007624
50,1402.69,1.33565,2.50032,1.32237,1.76017,0.92315,0.80581,0.91658,0.55133,0.92315,0.80581,0.90311,0.53747,1.38812,1.97055,0.88587,1.82371,0.00075745,0.00075745,0.00075745
51,1432.2,1.36181,2.49177,1.36394,1.67755,0.82578,0.88177,0.91629,0.58135,0.81027,0.88183,0.91156,0.53869,1.33884,2.02117,0.81107,1.76058,0.0007525,0.0007525,0.0007525
52,1459.78,1.29932,2.51392,1.25225,1.69215,0.81078,0.74282,0.89402,0.56457,0.7692,0.78635,0.89982,0.54802,1.32623,1.92251,0.87654,1.68285,0.00074755,0.00074755,0.00074755
53,1491.15,1.28829,2.49488,1.32532,1.71133,0.80161,0.83333,0.87867,0.53483,0.80161,0.83333,0.86506,0.52721,1.35682,1.9119,0.92926,1.73305,0.0007426,0.0007426,0.0007426
54,1517.4,1.24198,2.59319,1.34964,1.67481,0.66006,0.82853,0.83171,0.51495,0.66006,0.82853,0.83068,0.50981,1.38174,1.89835,0.99326,1.80127,0.00073765,0.00073765,0.00073765
55,1544.93,1.28613,2.67479,1.27079,1.65737,0.75461,0.84458,0.87747,0.51055,0.75541,0.84405,0.87432,0.52392,1.42016,1.97016,0.89554,1.849,0.0007327,0.0007327,0.0007327
56,1571.99,1.31528,2.63932,1.26911,1.72056,0.61657,0.82094,0.81821,0.49267,0.58692,0.85936,0.81791,0.47943,1.38483,2.00911,1.14844,1.76792,0.00072775,0.00072775,0.00072775
57,1597.34,1.27842,2.4771,1.26079,1.69089,0.80757,0.85755,0.91878,0.55715,0.86926,0.7788,0.89897,0.50983,1.37276,2.11087,0.89297,1.76335,0.0007228,0.0007228,0.0007228
58,1624.32,1.26088,2.36396,1.15031,1.62512,0.80088,0.70576,0.83399,0.50851,0.80088,0.70576,0.8345,0.48747,1.39153,2.09608,1.06498,1.86577,0.00071785,0.00071785,0.00071785
59,1651.99,1.23937,2.44985,1.2657,1.67701,0.87745,0.82266,0.92376,0.5999,0.87656,0.85573,0.92283,0.57853,1.325,1.86558,0.81548,1.75542,0.0007129,0.0007129,0.0007129
60,1680.08,1.25199,2.46162,1.21555,1.66106,0.90344,0.81076,0.91604,0.59132,0.92187,0.82266,0.91453,0.56061,1.32805,1.86355,0.7952,1.75791,0.00070795,0.00070795,0.00070795
61,1706.01,1.23984,2.51153,1.26946,1.67268,0.83005,0.7319,0.86255,0.55298,0.83005,0.7319,0.86387,0.5241,1.3238,1.97479,0.94055,1.6962,0.000703,0.000703,0.000703
62,1734.72,1.36751,2.69493,1.32372,1.76296,0.83121,0.85796,0.91015,0.56203,0.83121,0.85796,0.89964,0.54576,1.36958,1.96968,0.89002,1.76849,0.00069805,0.00069805,0.00069805
63,1762.95,1.2226,2.2977,1.12599,1.66515,0.87071,0.81487,0.92018,0.58005,0.85979,0.80307,0.89372,0.5561,1.39107,1.85462,0.78154,1.79209,0.0006931,0.0006931,0.0006931
64,1793.91,1.22889,2.32411,1.22625,1.67301,0.8773,0.90758,0.94404,0.56519,0.8773,0.90758,0.94315,0.55119,1.39824,1.97662,0.77104,1.78315,0.00068815,0.00068815,0.00068815
65,1824.04,1.22206,2.25318,1.16361,1.6619,0.91124,0.82509,0.92576,0.60649,0.91124,0.82509,0.92837,0.56795,1.28669,1.82928,0.75851,1.69903,0.0006832,0.0006832,0.0006832
66,1850.29,1.24408,2.46999,1.21499,1.69322,0.84921,0.80099,0.90796,0.59017,0.84921,0.80099,0.91124,0.5625,1.31667,1.87999,0.77865,1.72798,0.00067825,0.00067825,0.00067825
67,1880.59,1.29691,2.506,1.19874,1.68422,0.89726,0.79027,0.93114,0.56838,0.89726,0.79027,0.92535,0.56343,1.30428,1.83907,0.82773,1.67557,0.0006733,0.0006733,0.0006733
68,1909.08,1.17941,2.39201,1.12078,1.58872,0.92714,0.87028,0.94755,0.6107,0.92714,0.87028,0.94454,0.58465,1.25813,1.82435,0.74855,1.72538,0.00066835,0.00066835,0.00066835
69,1937.86,1.16919,2.31004,1.08244,1.57607,0.93989,0.8825,0.93587,0.62337,0.93989,0.8825,0.93909,0.57729,1.23586,1.86499,0.76678,1.65656,0.0006634,0.0006634,0.0006634
