epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,306.627,0.92284,1.9407,0.90865,1.2941,0.87453,0.669,0.84136,0.62918,0.87453,0.669,0.8376,0.5371,0.98119,2.43737,0.95103,1.62214,0.00115313,0.00115313,0.00115313
41,314.416,0.88222,1.83715,0.83784,1.28932,0.85141,0.84614,0.91429,0.63578,0.81532,0.77896,0.8639,0.48823,1.04368,2.84454,0.85264,1.63085,0.00114606,0.00114606,0.00114606
42,322.197,0.91489,1.90054,0.85358,1.33227,0.93265,0.93986,0.97847,0.73379,0.9013,0.90448,0.94746,0.63299,0.952,2.04564,0.58978,1.56096,0.00113898,0.00113898,0.00113898
43,329.95,0.87482,1.78633,0.84943,1.27946,0.78421,0.84286,0.88489,0.61792,0.79505,0.82852,0.85988,0.53399,1.07985,2.33488,0.94835,1.58927,0.00113191,0.00113191,0.00113191
44,337.626,0.93959,1.8629,0.87183,1.31533,0.83099,0.81947,0.81034,0.62098,0.83099,0.81947,0.80923,0.55625,0.93478,2.14622,1.03009,1.51753,0.00112484,0.00112484,0.00112484
45,345.72,0.921,2.0466,0.7848,1.31272,0.93928,0.85965,0.95301,0.72835,0.93197,0.8453,0.93812,0.64643,0.93972,2.04996,0.6502,1.51742,0.00111776,0.00111776,0.00111776
46,353.513,0.94635,1.96926,0.9916,1.37779,0.89414,0.85907,0.92435,0.7185,0.88487,0.87703,0.93365,0.63404,0.87225,2.16939,0.7024,1.42225,0.00111069,0.00111069,0.00111069
47,361.152,0.88754,1.89135,0.82803,1.28245,0.87273,0.82574,0.89496,0.6551,0.85872,0.84672,0.89138,0.59292,0.95515,1.91372,0.89581,1.55198,0.00110362,0.00110362,0.00110362
48,368.983,0.79603,1.69915,0.76848,1.21988,0.9298,0.81076,0.89507,0.63107,0.9298,0.81076,0.88745,0.59331,1.08111,2.0826,0.91407,1.69449,0.00109654,0.00109654,0.00109654
49,376.62,0.88486,1.72003,0.83888,1.26766,0.7552,0.69569,0.81551,0.57859,0.75382,0.67912,0.80966,0.46479,1.11991,2.62569,1.1929,1.67489,0.00108947,0.00108947,0.00108947
50,384.291,0.84469,1.80522,0.72938,1.26362,0.82678,0.78501,0.86273,0.6435,0.81375,0.77299,0.84795,0.56614,0.93781,2.14051,0.97279,1.52885,0.0010824,0.0010824,0.0010824
51,391.986,0.88829,1.8818,0.85702,1.27857,0.88168,0.84802,0.92256,0.69243,0.88989,0.84606,0.89841,0.59373,1.03032,2.38319,0.67436,1.59339,0.00107532,0.00107532,0.00107532
52,399.775,0.86314,1.79904,0.77453,1.2509,0.96263,0.88574,0.95224,0.72514,0.96263,0.88574,0.93188,0.58701,0.95186,2.40262,0.58154,1.56648,0.00106825,0.00106825,0.00106825
53,407.529,0.91968,1.80054,0.8069,1.2479,0.96073,0.88136,0.95144,0.71358,0.96073,0.88136,0.94374,0.64223,1.03518,1.84469,0.68953,1.66318,0.00106118,0.00106118,0.00106118
54,415.267,0.83083,1.75708,0.81374,1.2405,0.85073,0.88488,0.93187,0.6761,0.84101,0.87298,0.91861,0.62023,1.02208,1.90223,0.73457,1.5662,0.0010541,0.0010541,0.0010541
55,422.893,0.86746,1.69715,0.78054,1.20769,0.80756,0.68272,0.82665,0.60124,0.76465,0.72373,0.82676,0.53121,0.97404,2.08129,1.23062,1.55325,0.00104703,0.00104703,0.00104703
56,430.712,0.90366,1.86364,0.78958,1.24262,0.77521,0.83276,0.92697,0.69777,0.77521,0.83276,0.91845,0.57632,0.92924,2.27869,0.74604,1.50423,0.00103995,0.00103995,0.00103995
57,438.558,0.86414,1.70145,0.70296,1.25056,0.79021,0.87244,0.90117,0.66208,0.79021,0.87244,0.88,0.58683,0.97474,2.05904,0.78211,1.58334,0.00103288,0.00103288,0.00103288
